Temporada,Rank,Equip,Nacionalitat,Jugador,Gols,PJ,Gpp,Asist,App,Pen,Pen %,FD,FD %,Az,Azpp,Rj,Rjpp
16/17,92,ALCY,PT,"CORDERO CASTANHEIRA , TOMAS",5,30,0.17,3,0.10,,,1/3,33.33,1,0.03,,
16/17,93,ALCB,ES,"MARTINEZ PALOMO, ALVARO",5,15,0.33,4,0.27,0/1,0.00,1/3,33.33,,,,
16/17,94,LLE,ES,"CAÑELLAS MARTIN, JOAN",5,30,0.17,2,0.07,,,,,3,0.10,,
16/17,95,NOI,ES,"DEL AMOR FABRES, JORDI",5,29,0.17,1,0.03,,,,,7,0.24,,
16/17,96,LIC,PT,"FONSECA DE SERPA PINTO MAGALHAES, HENRIQUE",4,30,0.13,3,0.10,,,,,2,0.07,,
16/17,97,ALCB,ES,"MARTINEZ PALOMO, MARIO",4,28,0.14,1,0.04,,,,,4,0.14,,
16/17,98,CLD,ES,"ACSENSI VALIENTE, ALEXANDRE",4,30,0.13,4,0.13,,,,,,,,
16/17,99,LLO,ES,"GRAU TALLADA, ALEX",4,28,0.14,3,0.11,,,,,5,0.18,1,0.04
16/17,100,VLF,ES,"FERNÁNDEZ  SÁNCHEZ, RUBEN",4,25,0.16,,,,,0/2,0.00,3,0.12,,
16/17,101,LLO,ES,"SULE AMETLLER, XAVIER",4,28,0.14,1,0.04,2/6,33.33,1/9,11.11,1,0.04,,
16/17,102,LIC,ES,"GRASAS RODRÍGUEZ, JOAN MANUEL",4,25,0.16,1,0.04,1/2,50.00,,,1,0.04,,
16/17,103,MAN,ES,"MARTÍ COLOMO, DAVID",4,25,0.16,3,0.12,,,,,2,0.08,,
16/17,104,GIR,ES,"CARLES DOMENECH, DAVID",4,29,0.14,1,0.03,,,,,1,0.03,,
16/17,105,CLD,ES,"MOLERA SURIÑACH, JACINT",4,30,0.13,2,0.07,,,,,1,0.03,,
16/17,106,VLF,ES,"CUSACHS BRUGAROLA, GERARD",3,30,0.10,,,,,0/1,0.00,1,0.03,,
16/17,107,ALCB,FR,"DAVID, FLORENT",3,10,0.30,2,0.20,,,0/1,0.00,,,,
16/17,108,MAN,ES,"ANGUITA PADRÓS, JULI",3,22,0.14,,,1/3,33.33,0/1,0.00,4,0.18,,
16/17,109,ALCB,ES,"VILLANUEVA LEON, MARCOS",3,30,0.10,1,0.03,,,,,1,0.03,,
16/17,110,GIR,ES,"POVEDANO GUITART, MARC",3,13,0.23,,,1/1,100.00,0/1,0.00,1,0.08,,
16/17,111,ALCY,ES,"ROCA POSITO, FRANCISCO DANIEL",3,30,0.10,1,0.03,,,,,3,0.10,,
16/17,112,GIR,ES,"BOLCATO, ANDREA",2,20,0.10,,,,,,,2,0.10,,
16/17,113,ALCB,ES,"JURADO INDIAS, JAVIER",2,28,0.07,,,,,,,,,,
16/17,114,LIC,ES,"PAYERO LÓPEZ, MARTÍN ERNESTO",2,4,0.50,,,,,0/1,0.00,,,,
16/17,115,IGU,ES,"MENDEZ ORTIZ, JORDI",2,14,0.14,,,,,,,,,,
16/17,116,REU,ES,"TORNÉ PIÑOL, SERGI",1,29,0.03,,,,,,,1,0.03,,
16/17,117,IGU,ES,"LOPEZ RABALO, DANIEL",1,30,0.03,1,0.03,,,0/1,0.00,1,0.03,,
16/17,118,GIR,ES,"DANIEL BELLIDO, ALBERT",1,30,0.03,,,,,,,,,,
16/17,119,REU,ES,"OLLÉ MASQUEF, MARC",1,26,0.04,1,0.04,,,,,,,,
16/17,120,ALCY,ES,"MARTI GANDIA, VICENTE",1,25,0.04,,,,,,,,,,
16/17,121,ALCY,PT,"LOURENÇO, XAVIER JORGE",1,30,0.03,2,0.07,,,1/1,100.00,,,,
16/17,122,LLE,ES,"MATAIX BOURNE, DESIDERIO JAIME",1,30,0.03,1,0.03,,,,,,,,
16/17,123,CLD,ES,"PASTOR VILLANUEVA, ALEIX",1,29,0.03,,,0/1,0.00,,,,,,
