Temporada,Rank,Equip,Nacionalitat,Jugador,Gols,PJ,Gpp,Asist,App,Pen,Pen %,FD,FD %,Az,Azpp,Rj,Rjpp
17/18,87,GIR,ES,"GARCIA ROMAGUERA, MANEL",6,28,0.21,2,0.07,,,,,4,0.14,,
17/18,88,GIR,ES,"PALAZON MANCHA, MARC",6,30,0.20,4,0.13,,,,,4,0.13,,
17/18,89,GIR,ES,"RAMON CONTRERAS, BORJA",6,30,0.20,1,0.03,0/1,0.00,,,,,,
17/18,90,AREN,ES,"GURRI PUNSOLA, XAVIER",6,28,0.21,,,,,,,,,,
17/18,91,CLD,ES,"MOLERA SURIÑACH, JACINT",6,30,0.20,1,0.03,,,,,1,0.03,,
17/18,92,VIC,ES,"URBANO ICART, JORDI",5,30,0.17,2,0.07,,,1/5,20.00,3,0.10,,
17/18,93,LLE,ES,"CAÑELLAS MARTIN, JOAN",5,29,0.17,2,0.07,,,,,4,0.14,,
17/18,94,AREN,ES,"GALAN  BRUGAROLA, JORDI",5,28,0.18,5,0.18,0/3,0.00,,,5,0.18,,
17/18,95,AST,ES,"FERNANDEZ AVILA CASTILLO, FRANCISCO",5,29,0.17,2,0.07,,,,,3,0.10,,
17/18,96,ALCY,ES,"ROCA POSITO, FRANCISCO DANIEL",5,30,0.17,,,,,0/3,0.00,2,0.07,,
17/18,97,AST,ES,"BERNARDO GARCIA, BORJA",4,11,0.36,1,0.09,,,0/1,0.00,1,0.09,,
17/18,98,VOL,ES,"MOLAS SERRA , ALEIX",4,30,0.13,1,0.03,,,,,4,0.13,,
17/18,99,AST,ES,"GONZÁLEZ AMEIGÍDEZ, JAVIER",4,26,0.15,1,0.04,3/6,50.00,,,2,0.08,,
17/18,100,LLO,ES,"FERNÁNDEZ  SÁNCHEZ, RUBEN",4,30,0.13,1,0.03,0/1,0.00,0/1,0.00,,,,
17/18,101,LLO,ES,"GALLARDO PLANAS, GERARD",4,30,0.13,1,0.03,1/2,50.00,,,3,0.10,,
17/18,102,CLD,ES,"BLANQUE CLARAMONTE, MARCOS",4,30,0.13,5,0.17,,,1/4,25.00,,,,
17/18,103,VOL,ES,"LOPEZ GARCIA, IGNASI",4,30,0.13,3,0.10,,,,,1,0.03,,
17/18,104,IGU,ES,"MIQUEL SOLÉ, GERARD",4,29,0.14,2,0.07,,,,,1,0.03,,
17/18,105,PAL,ES,"CARLES DOMENECH, DAVID",4,30,0.13,1,0.03,1/5,20.00,,,,,,
17/18,106,AREN,ES,"AGUILAR TOMÁS, KILIAN",3,7,0.43,,,,,2/4,50.00,,,,
17/18,107,AREN,ES,"PEREZ ITURRALDE, JORDI",3,28,0.11,,,,,,,,,,
17/18,108,NOI,ES,"DEL AMOR FABRES, JORDI",3,30,0.10,3,0.10,,,,,3,0.10,,
17/18,109,LIC,ES,"PAYERO LÓPEZ, MARTÍN ERNESTO",2,11,0.18,,,,,0/1,0.00,,,,
17/18,110,VOL,ES,"GALLIFA ANFRUNS, POL",2,30,0.07,,,,,0/3,0.00,2,0.07,,
17/18,111,PAL,ES,"DURAN GONZÁLEZ, JONATHAN",2,14,0.14,,,0/1,0.00,,,1,0.07,,
17/18,112,VIC,ES,"MANRUBIA PERO, POL",2,27,0.07,3,0.11,0/1,0.00,0/2,0.00,,,,
17/18,113,VEN,ES,"CASADO VILANOVA, IKER",2,30,0.07,,,,,,,,,,
17/18,114,AST,ES,"GONZALEZ FERNANDEZ, DAVID",2,21,0.10,,,,,,,1,0.05,,
17/18,115,VEN,ES,"NAVARRO  BARRACHINA, MARC",2,30,0.07,5,0.17,,,,,,,,
17/18,116,GIR,ES,"GELMA PAZ, JOAN",1,30,0.03,,,,,0/1,0.00,,,,
17/18,117,ALCY,ES,"CANTO SANCHO , CARLOS DANIEL",1,30,0.03,,,,,,,,,,
17/18,118,AREN,ES,"DAUMAL SAURI, ENRIC",1,20,0.05,2,0.10,0/1,0.00,0/2,0.00,2,0.10,,
17/18,119,LLE,ES,"LOPEZ GARCIA, MIGUEL",1,6,0.17,,,,,,,,,,
17/18,120,REU,ES,"ESCALA LOPEZ, JOAN SALVADOR",1,26,0.04,,,0/1,0.00,,,,,,
17/18,121,AREN,ES,"PEREZ FERRERES, GERARD",1,1,1.00,,,,,,,,,,
17/18,122,VEN,ES,"MUDARRA BARROS, JOAN LLUIS",1,29,0.03,,,,,,,1,0.03,,
17/18,123,AST,ES,"LOPEZ ALVAREZ, CARLOS",1,26,0.04,2,0.08,,,,,,,,
16/17,1,REU,ES,"MARIN MARTIN, RAUL",38,30,1.27,6,0.20,0/3,0.00,9/31,29.03,5,0.17,,
16/17,2,FCB,ES,"ALVAREZ VERA, PABLO  FEDERICO",36,28,1.29,6,0.21,0/1,0.00,6/19,31.58,1,0.04,,
16/17,3,ALCY,ES,"FORMATJE CUYAS, FERRAN",31,30,1.03,4,0.13,,,10/26,38.46,,,,
16/17,4,GIR,ES,"PELICANO PLAZA, RAUL",29,30,0.97,5,0.17,5/12,41.67,6/22,27.27,3,0.10,,
